rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0073.jpg,29.2,0.7637,0.7525,0.625,1.0,7,5,False,True
2,frame_0387.jpg,154.8,0.7423,0.8046,1.0,0.2,11,8,False,True
3,frame_0000.jpg,0.0,0.7257,0.6764,0.625,1.0,7,5,False,True
4,frame_0024.jpg,9.6,0.7154,0.9558,0.125,1.0,1,1,False,True
5,frame_0291.jpg,116.4,0.6964,0.6817,0.625,0.84,7,5,False,True
6,frame_0294.jpg,117.6,0.6913,0.7945,0.5,0.72,7,4,False,False
7,frame_0276.jpg,110.4,0.6704,0.7948,0.75,0.24,7,6,False,True
8,frame_0030.jpg,12.0,0.6689,0.5628,0.625,1.0,7,5,False,True
9,frame_0074.jpg,29.6,0.6599,0.7698,0.25,1.0,8,2,False,False
10,frame_0070.jpg,28.0,0.6495,0.599,0.5,1.0,5,4,False,False
11,frame_0069.jpg,27.6,0.6464,0.5178,0.625,1.0,7,5,False,False
12,frame_0079.jpg,31.6,0.6453,0.6706,0.5,0.8,9,4,False,True
13,frame_0129.jpg,51.6,0.643,0.6339,0.5,0.88,8,4,False,True
14,frame_0367.jpg,146.8,0.6401,0.7232,0.875,0.08,9,7,False,True
15,frame_0378.jpg,151.2,0.6283,0.6997,0.875,0.08,9,7,False,True
16,frame_0131.jpg,52.4,0.6232,0.6374,0.375,0.96,4,3,False,False
17,frame_0033.jpg,13.2,0.6226,0.6951,0.25,1.0,9,2,False,False
18,frame_0005.jpg,2.0,0.621,0.617,0.375,1.0,5,3,False,True
19,frame_0031.jpg,12.4,0.616,0.5321,0.5,1.0,6,4,False,False
20,frame_0072.jpg,28.8,0.6111,0.7473,0.125,1.0,9,1,False,False
21,frame_0029.jpg,11.6,0.6063,0.5877,0.375,1.0,7,3,False,False
22,frame_0290.jpg,116.0,0.605,0.5901,0.5,0.8,8,4,False,False
23,frame_0286.jpg,114.4,0.6027,0.6493,0.5,0.64,8,4,False,False
24,frame_0002.jpg,0.8,0.6011,0.5021,0.5,1.0,8,4,False,False
25,frame_0001.jpg,0.4,0.5997,0.6494,0.25,1.0,8,2,False,False
26,frame_0397.jpg,158.8,0.5995,0.744,0.625,0.2,10,5,False,False
27,frame_0284.jpg,113.6,0.5988,0.7486,0.375,0.56,7,3,False,False
28,frame_0396.jpg,158.4,0.5988,0.8337,0.5,0.16,9,4,False,False
29,frame_0077.jpg,30.8,0.5922,0.6824,0.25,0.88,8,2,False,False
30,frame_0169.jpg,67.6,0.5904,0.7478,0.375,0.52,6,3,False,False
31,frame_0384.jpg,153.6,0.5876,0.8112,0.5,0.16,7,4,False,False
32,frame_0292.jpg,116.8,0.5827,0.6204,0.375,0.8,6,3,False,False
33,frame_0195.jpg,78.0,0.5819,0.9608,0.125,0.32,2,1,False,False
34,frame_0076.jpg,30.4,0.5809,0.6438,0.25,0.92,7,2,False,False
35,frame_0015.jpg,6.0,0.5801,0.6102,0.25,1.0,4,2,False,False
36,frame_0368.jpg,147.2,0.5759,0.6858,0.75,0.04,10,6,False,False
37,frame_0071.jpg,28.4,0.574,0.523,0.375,1.0,9,3,False,False
38,frame_0130.jpg,52.0,0.5724,0.5518,0.375,0.92,4,3,False,False
39,frame_0007.jpg,2.8,0.5699,0.5148,0.375,1.0,5,3,False,False
40,frame_0067.jpg,26.8,0.5677,0.5104,0.375,1.0,7,3,False,False
41,frame_0330.jpg,132.0,0.5675,0.6691,0.75,0.04,8,6,False,False
42,frame_0020.jpg,8.0,0.5662,0.5824,0.25,1.0,4,2,False,False
43,frame_0008.jpg,3.2,0.5661,0.6572,0.125,1.0,3,1,False,False
44,frame_0328.jpg,131.2,0.5659,0.6498,0.75,0.08,9,6,False,False
45,frame_0011.jpg,4.4,0.5644,0.5788,0.25,1.0,3,2,False,False
46,frame_0278.jpg,111.2,0.5636,0.6993,0.5,0.32,7,4,False,False
47,frame_0389.jpg,155.6,0.5635,0.7789,0.5,0.12,5,4,False,False
48,frame_0075.jpg,30.0,0.5612,0.5884,0.25,0.96,6,2,False,False
49,frame_0018.jpg,7.2,0.5573,0.4895,0.375,1.0,5,3,False,False
50,frame_0297.jpg,118.8,0.5487,0.6325,0.375,0.6,6,3,False,False
51,frame_0306.jpg,122.4,0.5476,0.6992,0.5,0.24,8,4,False,False
52,frame_0004.jpg,1.6,0.5471,0.5441,0.25,1.0,8,2,False,False
53,frame_0329.jpg,131.6,0.5469,0.6868,0.625,0.08,8,5,False,False
54,frame_0285.jpg,114.0,0.5424,0.6949,0.25,0.6,5,2,False,False
55,frame_0175.jpg,70.0,0.5399,0.7427,0.375,0.28,6,3,False,False
56,frame_0376.jpg,150.4,0.5393,0.7146,0.5,0.16,7,4,False,False
57,frame_0202.jpg,80.8,0.5389,0.6127,0.375,0.6,4,3,False,False
58,frame_0176.jpg,70.4,0.5379,0.5298,0.75,0.24,8,6,False,False
59,frame_0014.jpg,5.6,0.5369,0.5237,0.25,1.0,4,2,False,False
60,frame_0201.jpg,80.4,0.5362,0.6233,0.375,0.56,3,3,False,False
61,frame_0293.jpg,117.2,0.5361,0.5432,0.375,0.76,5,3,False,False
62,frame_0318.jpg,127.2,0.5361,0.6762,0.5,0.24,10,4,False,False
63,frame_0288.jpg,115.2,0.5337,0.4794,0.5,0.72,6,4,False,False
64,frame_0183.jpg,73.2,0.5331,0.8252,0.375,0.04,4,3,False,False
65,frame_0279.jpg,111.6,0.5309,0.6178,0.5,0.36,8,4,False,False
66,frame_0231.jpg,92.4,0.5307,0.6973,0.5,0.16,8,4,False,False
67,frame_0298.jpg,119.2,0.5287,0.6084,0.375,0.56,6,3,False,False
68,frame_0167.jpg,66.8,0.5265,0.6629,0.25,0.6,6,2,False,False
69,frame_0374.jpg,149.6,0.5227,0.7404,0.375,0.2,9,3,False,False
70,frame_0289.jpg,115.6,0.5207,0.6623,0.125,0.76,4,1,False,False
71,frame_0216.jpg,86.4,0.5201,0.7892,0.125,0.44,2,1,False,False
72,frame_0021.jpg,8.4,0.5198,0.4146,0.375,1.0,6,3,False,False
73,frame_0003.jpg,1.2,0.5188,0.4126,0.375,1.0,4,3,False,False
74,frame_0332.jpg,132.8,0.5173,0.7187,0.5,0.04,6,4,False,False
75,frame_0186.jpg,74.4,0.5158,0.5657,0.75,0.04,9,6,False,False
76,frame_0123.jpg,49.2,0.5127,0.6943,0.125,0.64,5,1,False,False
77,frame_0317.jpg,126.8,0.5087,0.7123,0.375,0.2,7,3,False,False
78,frame_0124.jpg,49.6,0.5081,0.5942,0.25,0.68,9,2,False,False
79,frame_0127.jpg,50.8,0.5065,0.468,0.375,0.8,5,3,False,False
80,frame_0296.jpg,118.4,0.5047,0.6034,0.25,0.64,6,2,False,False
81,frame_0375.jpg,150.0,0.5037,0.6274,0.5,0.2,9,4,False,False
82,frame_0017.jpg,6.8,0.5031,0.3813,0.375,1.0,4,3,False,False
83,frame_0386.jpg,154.4,0.5006,0.6801,0.375,0.24,11,3,False,False
84,frame_0105.jpg,42.0,0.5005,0.669,0.5,0.08,7,4,False,False
85,frame_0114.jpg,45.6,0.4996,0.5122,0.625,0.28,10,5,False,False
86,frame_0010.jpg,4.0,0.4995,0.524,0.125,1.0,2,1,False,False
87,frame_0122.jpg,48.8,0.4971,0.6042,0.25,0.6,7,2,False,False
88,frame_0106.jpg,42.4,0.4969,0.6028,0.625,0.04,9,5,False,False
89,frame_0113.jpg,45.2,0.4947,0.5935,0.5,0.24,7,4,False,False
90,frame_0299.jpg,119.6,0.4941,0.5552,0.375,0.52,6,3,False,False
91,frame_0078.jpg,31.2,0.4938,0.5016,0.25,0.84,8,2,False,False
92,frame_0170.jpg,68.0,0.4924,0.5678,0.375,0.48,9,3,False,False
93,frame_0116.jpg,46.4,0.4914,0.6139,0.375,0.36,6,3,False,False
94,frame_0398.jpg,159.2,0.4906,0.6603,0.375,0.24,9,3,False,False
95,frame_0277.jpg,110.8,0.4883,0.5646,0.5,0.28,9,4,False,False
96,frame_0391.jpg,156.4,0.4854,0.5798,0.625,0.04,7,5,False,False
97,frame_0006.jpg,2.4,0.4836,0.4172,0.25,1.0,4,2,False,False
98,frame_0287.jpg,114.8,0.4828,0.5436,0.25,0.68,6,2,False,False
99,frame_0068.jpg,27.2,0.4812,0.4123,0.25,1.0,5,2,False,False
100,frame_0385.jpg,154.0,0.4752,0.6454,0.375,0.2,8,3,False,False
101,frame_0009.jpg,3.6,0.4745,0.399,0.25,1.0,3,2,False,False
102,frame_0327.jpg,130.8,0.4743,0.7076,0.375,0.04,7,3,False,False
103,frame_0283.jpg,113.2,0.4704,0.5078,0.375,0.52,6,3,False,False
104,frame_0128.jpg,51.2,0.4681,0.4503,0.25,0.84,7,2,False,False
105,frame_0304.jpg,121.6,0.4673,0.5816,0.375,0.32,7,3,False,False
106,frame_0379.jpg,151.6,0.4672,0.5433,0.625,0.04,9,5,False,False
107,frame_0209.jpg,83.6,0.4667,0.4954,0.25,0.72,5,2,False,False
108,frame_0305.jpg,122.0,0.4656,0.4443,0.625,0.28,8,5,False,False
